factura;fecha;proveedor;ruc_proveedor;codigo_producto;nombre_producto;tipo_inventario;cantidad;costo_unitario;precio_venta_menor;precio_venta_mayor;iva_tipo
;04/05/2026;Trociuk & Cia ;800003285-3;;Prontodog Cachorro 1.5 kg;PETSHOP;6;16880;25000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Prontodog Cachorro 2.7 kg;PETSHOP;6;27320;35000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog cachorros 7 kg;PETSHOP;6;62600;80000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog cachorros 25 kg;PETSHOP;3;198000;230000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog crecimientos 1.5 kg;PETSHOP;6;15430;25000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog crecimientos 2.7 kg;PETSHOP;6;24420;35000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog crecimientos 25 kg;PETSHOP;3;167000;200000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog adultos 1.5 kg;PETSHOP;6;13990;25000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog adultos 2.7 kg;PETSHOP;6;22100;35000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog adultos 7 kg;PETSHOP;6;49490;70000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog adultos25 kg;PETSHOP;6;139500;170000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog raza pequeña 1.5 kg;PETSHOP;6;15870;25000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog raza pequeña 2.7 kg;PETSHOP;6;27610;35000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontodog raza pequeña 7 kg;PETSHOP;6;61890;80000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;prontocat crecimientos 1 kg;PETSHOP;6;14490;20000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Prontocat crecimientos 7 kg;PETSHOP;3;65620;85000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Castrados 1 Kg. ;PETSHOP;6;19500;30000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Castrados 7 Kg. ;PETSHOP;2;105000;145000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;aves iniciador 25 kg;PETSHOP;3;78500;95000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Aves Crecimiento 25 Kg. ;PETSHOP;4;67500;85000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Aves Terminador 25 Kg. ;PETSHOP;3;69500;85000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Aves Ponedora 25 Kg. ;PETSHOP;4;69000;95000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;codorniz 25 kg;PETSHOP;3;77500;90000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Cerdos Crecimiento 25 Kg. ;PETSHOP;3;65000;85000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Cerdos Terminador 25 Kg. ;PETSHOP;3;66000;80000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Conejos 25 Kg. ;PETSHOP;1;61000;85000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Lecheras A.P. 18% - 25 Kg.;PETSHOP;3;56500;75000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;Engorde Campo 25 Kg. ;PETSHOP;3;58000;75000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;sal Mineral;PETSHOP;3;74000;90000;;10
;04/05/2026;Trociuk & Cia ;800003285-3;;equino integral 50 kg;PETSHOP;3;115000;150000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;doxivet 50mg;FARMACIA;20;7200;23000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;doxivet 100mg;FARMACIA;20;9700;25000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;doxivet 200mg;FARMACIA;20;16500;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;enterogel;FARMACIA;20;13500;25000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;amoxivet bronquial 250 mg;FARMACIA;3;24000;40000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;coxxitrak 100 ml;FARMACIA;2;50000;70000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;analgesin pet gotas;FARMACIA;3;20000;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;ferrol b12;FARMACIA;11;18000;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;neodermol;FARMACIA;6;13200;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;rifa g;FARMACIA;14;18600;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;ivet pet cmp;FARMACIA;6;26600;43000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;hepacura;FARMACIA;10;13200;25000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;soludex;FARMACIA;20;7000;20000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;sanovet pets crema;FARMACIA;6;15000;25000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;vetcort;FARMACIA;20;12000;35000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;xilavet inyectable;FARMACIA;6;15000;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;gasiplen oral 20 ml;FARMACIA;6;12000;25000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;amoxivet biotic 150 mg;FARMACIA;10;5500;20000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;amoxivet biotic 500 mg;FARMACIA;10;14000;30000;;10
;09/05/2026;Laboratorio Guayakil;80014641-7;;pomada yodurada;FARMACIA;6;13200;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;afoxocan 2 a 4 kg;FARMACIA;10;5984;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;afoxocan 10 a 25 kg;FARMACIA;10;20284;35000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;afoxocan 25 a 50 kg;FARMACIA;10;27159;55000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;anicedan gotas 10ml;FARMACIA;6;17303;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;anicedan inyec;FARMACIA;2;13303;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;anicedan inyec;FARMACIA;2;41855;55000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;biomisol;FARMACIA;10;6666;15000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;desalgina;FARMACIA;2;15983;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;dexagal 10ml;FARMACIA;6;5456;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;diclovan 100ml;FARMACIA;12;18887;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;diuretico10ml;FARMACIA;6;10296;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;diclovan 500ml;FARMACIA;3;76070;110000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;finestrol;FARMACIA;10;8701;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;fipecto pour-on;FARMACIA;3;62854;100000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;floxacin 150mg;FARMACIA;3;9295;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;floxacin 50mg;FARMACIA;3;7249;15000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;gentavet gotas10ml;FARMACIA;4;7304;15000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;hidratopet;FARMACIA;1;3740;10000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;vitabiot;FARMACIA;25;3509;10000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;iverm inyect500ml;FARMACIA;1;82852;500000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;gentavet spray;FARMACIA;10;14691;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;ketavet;FARMACIA;10;48620;80000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;ketomic;FARMACIA;3;13057;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;L-biomisol 7.5 30ml;FARMACIA;6;10417;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;metromicina;FARMACIA;12;10186;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;midapet gotas 20ml;FARMACIA;6;7436;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;multivitamin 250 gramos;FARMACIA;2;21571;35000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;oximed plus;FARMACIA;3;22187;35000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;pentagal 6.000.000;FARMACIA;3;16625;40000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;pentagal 12.000.000;FARMACIA;3;29887;70000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;peridon gotas 20ml;FARMACIA;10;10890;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;timpansin 100ml;FARMACIA;1;8063;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;Tristesan 100ml;FARMACIA;3;37037;60000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus curab. plata;FARMACIA;6;18533;30000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus curab. lila;FARMACIA;6;12073;25000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus pulguicida;FARMACIA;6;8439;20000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus shampoo anti.5L;PETSHOP;2;44000;70000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus Acondicionador;PETSHOP;1;67254;85000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus Shampoo coco;PETSHOP;2;44000;70000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus shampoo coco250ml;PETSHOP;3;13688;25000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus shampoo250ml Lp.;PETSHOP;3;13688;25000;;10
;24/04/2026;Santacruz y Cia;80086791-2;;kerkus sahmpoo anti.;FARMACIA;3;14239;28000;;10
;25/04/2026;Ocasional;;;pala higienica;PETSHOP;4;6250;15000;;10
;25/04/2026;Ocasional;;;jabon matacura;FARMACIA;3;15625;25000;;10
;25/04/2026;Ocasional;;;terramicina en polvo;FARMACIA;2;50000;65000;;10
;25/04/2026;Ocasional;;;thuya 20ml;FARMACIA;4;13750;25000;;10
;25/04/2026;Ocasional;;;dectomax inyec.;FARMACIA;1;56250;70000;;10
;25/04/2026;Ocasional;;;bandeja arenero;PETSHOP;3;22500;45000;;10
;25/04/2026;Ocasional;;;kit educador;PETSHOP;2;21250;32000;;10
;25/04/2026;Ocasional;;;canex original;PETSHOP;4;6250;15000;;10
;25/04/2026;Ocasional;;;huesito;PETSHOP;120;2959;59000;;10
;25/04/2026;Ocasional;;;arena bionatura;PETSHOP;1;27500;45000;;10
;25/04/2026;Ocasional;;;kit cepillo;PETSHOP;2;16185;25000;;10
;25/04/2026;Ocasional;;;mamadera;PETSHOP;3;12935;25000;;10
;25/04/2026;Ocasional;;;Jaulas;PETSHOP;7;50000;80000;;10
;25/04/2026;Ocasional;;;arena star pop;PETSHOP;7;20000;30000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;CAT CHOW ADULTO PESCADO 15X85G;PETSHOP;15;5600;8000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;CAT CHOW ESTERILIZADOS PESCADOS 15X85G ;PETSHOP;15;5600;8000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;CAT CHOW GATITOS POLLO 15X85G;PETSHOP;15;5600;8000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;DOG CHOW ADLT TDTM CARNE 15X100G;PETSHOP;15;5600;8000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;DOG CHOW CACHORRO TDTM C/CARNE 15X100G ;PETSHOP;15;5600;8000;;10
;09/06/2026;LA MERCANTIL DEL ESTE;80001629-7;;DOG CHOW FESTIVAL DE POLLO 15X100G XI ;PETSHOP;15;5600;8000;;10
;28/05/2026;Trociuk & Cia ;800003285-3;;equino integral 50 kg;PETSHOP;6;115000;150000;;10
;28/05/2026;Trociuk & Cia ;800003285-3;;prontodog adultos 2.7 kg;PETSHOP;6;22100;35000;;10
;09/06/2026;CAPIC;800063429-2;;AFRECHO DE TRIGO ;PETSHOP;10;38000;60000;;10
;28/05/2026;CENTRO AGROPECUARIO;80031048-9;;BEBEDERO 5 L PARA GALLINAS ;PETSHOP;6;14583;30000;;10
;28/05/2026;CENTRO AGROPECUARIO;80031048-9;;COMEDERO PARA GALLINAS 3 KG;PETSHOP;12;14750;30000;;10
;27/05/2026;AGROVETERINARIA ASUNCION;80071081-9;;VACUNA SEPTUPLE QUANTUM;FARMACIA;25;22000;50000;;10
;27/05/2026;AGROVETERINARIA ASUNCION;80071081-9;;VACUNA HEPTUPLE PARA PARVUM;FARMACIA;10;20000;50000;;10
;27/05/2026;AGROVETERINARIA ASUNCION;80071081-9;;VACUNA TRIPLE FELINA;FARMACIA;7;25000;50000;;10
;27/05/2026;AGROVETERINARIA ASUNCION;80071081-9;;VACUNA ANTIRABICA;FARMACIA;20;8000;30000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;AFOXOCAN DE 4 A 10KG;FARMACIA;10;11341;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;AFOXOCAN 10.1 A 25KG;FARMACIA;10;20284;35000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;EXTRACTO DE HIGADO GALMEDIC 100ML;FARMACIA;3;18370;35000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;FLOXACIN 50 MG 10CMP;FARMACIA;10;7249;20000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;GALMEDIC B12 50.000X50ML;FARMACIA;3;9592;25000;;10
;04/05/2026;Compañia Biotecnica;80130170-0;;AMOXIVET CMP;FARMACIA;9;6372;25000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Engorde Campo 25 Kg. ;PETSHOP;10;58000;75000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Lecheras A.P. 18% - 25 Kg.;PETSHOP;18;56500;75000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Cerdos Crecimiento 25 Kg. ;PETSHOP;6;65000;85000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Cerdos Terminador 25 Kg. ;PETSHOP;5;66000;80000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Aves Terminador 25 Kg. ;PETSHOP;10;69500;85000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Aves Ponedora 25 Kg. ;PETSHOP;10;69000;95000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Conejos 25 Kg. ;PETSHOP;1;61000;85000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Castrados 1 Kg. ;PETSHOP;6;19500;30000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Castrados 2,7 Kg. ;PETSHOP;6;49000;75000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Castrados 7 Kg. ;PETSHOP;2;105000;145000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Pronto Cat Crecimiento 25 kg ;PETSHOP;1;198000;245000;;10
;10/06/2026;Trociuk & Cia ;800003285-3;;Aves Crecimiento 25 Kg. ;PETSHOP;6;67500;85000;;10
;10/06/2026;Ocasional;;;Mix Periquito;PETSHOP;1;10000;15000;;10
;10/06/2026;Ocasional;;;Alpiste;PETSHOP;1;10000;15000;;10
;10/06/2026;Ocasional;;;Girasol;PETSHOP;1;10000;15000;;10
