ticket;fecha;cliente;ruc_cliente;tipo_pago;codigo_producto;nombre_producto;tipo_inventario;cantidad;precio_unitario;iva_tipo;descuento_item
V-0036;30/mai;Ocasional;;CONTADO;;Septuple;;2;50.000;10;0
V-0037;30/mai;Ocasional;;CONTADO;;Afoxocan de 10 a 25 kg;;1;35.000;10;0
V-0038;30/mai;Ocasional;;CONTADO;;Comp Canex;;1;15.000;10;0
V-0039;30/mai;Ocasional;;CONTADO;;Gentavet spray;;1;30.000;10;0
V-0040;30/mai;Ocasional;;CONTADO;;Soludex;;1;20.000;10;0
V-0041;30/mai;Ocasional;;CONTADO;;Afoxocan 10-25 kg;;2;35.000;10;0
V-0042;30/mai;Ocasional;;CONTADO;;Aves Ponedora granel 3kg;;1;15.000;10;0
V-0043;30/mai;Ocasional;;CONTADO;;Aves Crecimiento granel 3k;;1;15.000;10;0
V-0044;31/mai;Ocasional;;CONTADO;;Pronto Gat crecimiento Adulto 1 Kg;;1;20.000;10;0
V-0045;31/mai;Ocasional;;CONTADO;;Pronto Gat crecimiento Adulto 7 Kg;;1;85.000;10;0
V-0046;31/mai;Ocasional;;CONTADO;;Pronto Dog Adulto 7 Kg;;1;75.000;10;0
V-0047;31/mai;Ocasional;;CONTADO;;Dexayal 10 ML;;1;25.000;10;0
V-0048;31/mai;Ocasional;;CONTADO;;Timpancin;;1;20.000;10;0
V-0049;31/mai;Ocasional;;CONTADO;;Afoxopet 2-4 Kg;;1;20.000;10;0
V-0050;31/mai;Ocasional;;CONTADO;;Afoxopet 10-25 Kg;;1;35.000;10;0
V-0051;01/jun;Ocasional;;CONTADO;;Biomisol;;1;15.000;10;0
V-0052;01/jun;Ocasional;;CONTADO;;Xixi Não - Xixi Sim;;1;32.000;10;0
V-0053;01/jun;Ocasional;;CONTADO;;Pronto Dog razas pequeñas 1,5 kg;;1;25.000;10;0
V-0054;01/jun;Ocasional;;CONTADO;;Dosis de 1ML irondel;;1;10.000;10;0
V-0055;01/jun;Ocasional;;CONTADO;;Paquete Ración Conejo x 2 kg;;1;10.000;10;0
